Arrt;Code;Bibliothèques de prêt;prêts adultes;dont prolongations bib;dont prolongations portail;prêts discothèque;dont prolongations bib;dont prolongations portail;prêts jeunesse;dont prolongations bib;dont prolongations portail;prêts vidéothèque;dont prolongations bib;dont prolongations portail;prêts fds spéc. / partitions / réserve;dont prolongations bib;dont prolongations portail;prêts pôles thém. / langues;dont prolongations bib;dont prolongations portail;Prêts documents de la Réserve Centrale;dont prolongations bib;TOTAL;Dont prêts automates;;;;;
15;15;Vaugirard; 	6.805   ; 	222   ; 	725   ; 	463   ; 	5   ; 	66   ; 	2.688   ; 	121   ; 	281   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	201   ; 	7   ; 	37   ; 	131   ; 	5   ; 	10.288   ; 	-00   ;;;;;
Total Vsmart;;; 	310.487   ; 	9.898   ; 	41.345   ; 	105.582   ; 	2.489   ; 	12.352   ; 	201.997   ; 	6.315   ; 	20.486   ; 	79.703   ; 	1.824   ; 	7.379   ; 	13.985   ; 	532   ; 	3.151   ; 	14.052   ; 	503   ; 	2.585   ; 	9.069   ; 	337   ; 	734.875   ; 	264.903   ;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Détail prêts de la Réserve Centrale;;; 	8.288   ;;; 	2.784   ;;; 	-00   ;;; 	-00   ;;; 	140   ;;; 	-00   ;;; 	-00   ;; 	11.212   ;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arrt;Code;Bibliothèques spécialisées;Prêts;;;;;;Renouv;;;;;;Consultation;;;Total prêts;;;;;;% prêts automates;;;;;
;;;Automates;;;Autres;;;Automates;;;Autres;;;;;;Automates;;;Autres;;Total;;;;;;
5;33;Buffon Centre de Documentation; 	-00   ; 	-00   ; 	-00   ; 	478   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	227   ; 	-00   ; 	-00   ; 	-00   ;;; 	-00   ;;; 	705   ;; 	705   ;0,0 %;;;;;
1;69;Cinéma François Truffaut; 	-00   ; 	-00   ; 	-00   ; 	11.360   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	1.874   ; 	-00   ; 	-00   ; 	-00   ;;; 	-00   ;;; 	13.234   ;; 	13.234   ;0,0 %;;;;;
4;97;Forney; 	-00   ; 	-00   ; 	-00   ; 	1.579   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	423   ; 	-00   ; 	-00   ; 	-00   ;;; 	-00   ;;; 	2.002   ;; 	2.002   ;0,0 %;;;;;
Total Portfolio;;; 	-00   ;;; 	13.417   ;;; 	-00   ;;; 	2.524   ;;; 	-00   ;;; 	-00   ;;; 	15.941   ;; 	15.941   ;0,0 %;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arrt;Code;Bibliothèques autres directions;Prêts;;;Renouv;;;Consultation;;;Total prêts;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;;Bibliothèque Chaligny; 	1.020   ; 	-00   ; 	-00   ; 	193   ; 	-00   ; 	-00   ; 	-00   ;;; 	1.213   ;;;;;;;;;;;;;;;;;
12;;Bibliothèque du Breuil; 	42   ; 	-00   ; 	-00   ; 	41   ; 	-00   ; 	-00   ; 	-00   ;;; 	83   ;;;;;;;;;;;;;;;;;
12;;DEVE Documentation interne; 	34   ; 	-00   ; 	-00   ; 	4   ; 	-00   ; 	-00   ; 	-00   ;;; 	38   ;;;;;;;;;;;;;;;;;
12;;Bibliothèque Paris nature - Parc floral; 	8   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ;;; 	8   ;;;;;;;;;;;;;;;;;
12;;Maison du jardinage - Parc de Bercy; 	1   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ;;; 	1   ;;;;;;;;;;;;;;;;;
Total autres directions;;; 	1.105   ; 	-00   ; 	-00   ; 	238   ; 	-00   ; 	-00   ; 	-00   ;; 	-00   ; 	1.343   ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOTAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bibs Vsmart + Portfolio;;;750.816;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
